1,toy1,green,2853
2,toy2,yellow,584
3,toy3,blue,4753
4,toy4,green,3721
5,toy5,blue,3697
6,toy6,red,4607
7,toy7,black,766
8,toy8,blue,2622
9,toy9,red,2641
10,toy10,black,177
11,toy11,orange,2307
12,toy12,black,4267
13,toy13,black,3568
14,toy14,red,4366
15,toy15,orange,1493
16,toy16,white,3434
17,toy17,black,1055
18,toy18,blue,1027
19,toy19,white,1010
20,toy20,black,2518
21,toy21,blue,1272
22,toy22,red,2577
23,toy23,blue,3739
24,toy24,orange,2579
25,toy25,blue,4219
26,toy26,green,3833
27,toy27,green,4493
28,toy28,red,3725
29,toy29,orange,2212
30,toy30,blue,3221
31,toy31,blue,1690
32,toy32,yellow,1738
33,toy33,blue,4581
34,toy34,white,4949
35,toy35,white,906
36,toy36,blue,2246
37,toy37,white,1271
38,toy38,blue,1274
39,toy39,white,1407
40,toy40,yellow,376
41,toy41,white,4335
42,toy42,red,407
43,toy43,yellow,1147
44,toy44,orange,410
45,toy45,red,3744
46,toy46,yellow,2055
47,toy47,white,2635
48,toy48,yellow,2950
49,toy49,yellow,4887
50,toy50,blue,4310
51,toy51,orange,907
52,toy52,red,4662
53,toy53,black,306
54,toy54,white,4444
55,toy55,white,3668
56,toy56,yellow,4619
57,toy57,yellow,468
58,toy58,black,1731
59,toy59,orange,2463
60,toy60,orange,2779
61,toy61,yellow,2298
62,toy62,green,2621
63,toy63,red,1170
64,toy64,blue,3227
65,toy65,blue,701
66,toy66,yellow,1057
67,toy67,blue,3339
68,toy68,orange,4963
69,toy69,yellow,4459
70,toy70,blue,4113
71,toy71,yellow,2004
72,toy72,red,3714
73,toy73,blue,2050
74,toy74,black,2198
75,toy75,red,1553
76,toy76,blue,1588
77,toy77,red,3677
78,toy78,blue,4649
79,toy79,red,1440
80,toy80,blue,100
81,toy81,green,147
82,toy82,green,3593
83,toy83,blue,4352
84,toy84,white,3681
85,toy85,yellow,779
86,toy86,yellow,1192
87,toy87,black,2822
88,toy88,orange,1863
89,toy89,orange,100
90,toy90,white,4141
91,toy91,green,2601
92,toy92,blue,3805
93,toy93,blue,2155
94,toy94,blue,2841
95,toy95,yellow,2574
96,toy96,green,4968
97,toy97,white,4484
98,toy98,white,414
99,toy99,yellow,2849
100,toy100,yellow,4973
101,toy101,white,182
102,toy102,red,3855
103,toy103,orange,1545
104,toy104,red,546
105,toy105,black,2574
106,toy106,blue,3412
107,toy107,blue,2545
108,toy108,yellow,3445
109,toy109,blue,1863
110,toy110,green,522
111,toy111,green,2556
112,toy112,black,393
113,toy113,black,3011
114,toy114,red,4090
115,toy115,red,530
116,toy116,white,1990
117,toy117,orange,2300
118,toy118,green,4889
119,toy119,blue,3901
120,toy120,red,3327
121,toy121,red,3433
122,toy122,yellow,2281
123,toy123,red,502
124,toy124,green,4238
125,toy125,red,4724
126,toy126,white,1701
127,toy127,green,2685
128,toy128,orange,4875
129,toy129,red,4744
130,toy130,red,3511
131,toy131,white,4277
132,toy132,blue,1654
